Utilisateur,Condition,Temps (s),Erreurs,Clics
U1,A,3,20,3,3
U1,B,5,13,0,0
U1,C,18,77,16,19
U2,X,15,29,5,8
U2,A,3,29,8,11
U3,B,15,42,17,18
U4,A,7,78,7,7
U4,C,19,92,23,26
U5,X,16,81,18,20
U5,A,3,30,21,23
U5,B,16,49,33,35
U5,C,21,67,33,35
U5,A,23,73,33,35
U5,A,26,69,0,0
U5,A,26,69,0,0
U5,A,26,69,0,0
U6,A,2,88,3,3
U6,A,3,80,0,0
U7,X,6,75,4,4
U8,X,6,81,3,3
U9,X,12,03,3,3
U10,X,42,68,8,8
U11,X,20,30,10,10
U12,X,7,86,5,5
U12,X,9,06,0,0
U12,X,5,28,3,3
U12,B,16,81,9,9
U12,C,45,68,21,23
U12,C,49,67,0,0
U12,C,49,67,0,0
U12,C,49,67,0,0
